Регіони,2019,2020

Житомирська область,138.82758620689654,122.53333333333333

Львівська область,139.38541666666666,144.5

Сумська область,144.1,135.30555555555554

Закарпатська область,128.69565217391303,131.61904761904762

Вінницька область,135.97222222222223,137.6304347826087

Кіровоградська область,137.1764705882353,134.9090909090909

Херсонська область,136.21052631578948,133.0909090909091

Хмельницька область,139.41666666666666,134.39473684210526

Чернівецька область,123.0,129.88888888888889

Луганська область,125.3,122.76923076923077

Запорізька область,128.23529411764707,122.95652173913044

Чернігівська область,122.5,141.07692307692307

Донецька область,131.04,136.55555555555554

Івано-Франківська область,134.90625,135.0

Дніпропетровська область,134.39,128.79245283018867

Миколаївська область,138.66666666666666,136.8

Полтавська область,137.52173913043478,135.65625

Черкаська область,137.0,131.6875

Київська область,136.17948717948718,132.20454545454547

Волинська область,129.28571428571428,132.33333333333334

Харківська область,133.325,137.15151515151516

Рівненська область,128.95454545454547,128.16

Одеська область,136.30555555555554,130.375

Тернопільська область,135.1578947368421,144.375

м.Київ,145.11805555555554,138.8

